"movieid";"rank";"votes";"distribution"
1821599;"8.5";204024;"0000001123"
1821619;"6.8";4235;"0000012210"
1821739;"6.1";13082;"0000132100"
1821769;"8.6";58089;"0000000223"
1821807;"5.3";11177;"0001221000"
1821852;"6.5";68455;"0000012101"
1821917;"6.0";4127;"0000121101"
1822415;"6.0";1273;"0000122100"
1822607;"5.7";5336;"0000221000"
1822639;"4.2";1225;"0011110000"
1822675;"5.3";3784;"0001111000"
1823008;"6.4";7770;"0000012100"
1823101;"5.3";2474;"0001221000"
1823223;"6.8";47810;"0000013200"
1823361;"7.8";137668;"0000001212"
1823486;"6.3";66745;"0000122100"
1823740;"6.8";12515;"0000013200"
1823753;"6.1";3460;"0000012100"
1823865;"7.7";96479;"0000002211"
1824605;"5.3";170;"1001110001"
1824615;"7.2";38137;"0000012212"
1824623;"6.6";71398;"0000012101"
1824685;"7.7";4800;"0000001221"
1824923;"6.3";4652;"0000122100"
1824929;"6.9";490;"0000001212"
1825343;"6.6";31854;"0000123100"
1825348;"5.0";8496;"0001221000"
1826286;"6.3";2531;"0000012111"
1826962;"4.9";698;"0001111000"
1827008;"4.9";14516;"0001111000"
1827432;"6.8";9839;"0000023100"
1827800;"6.5";1636;"0000012101"
1828055;"7.1";2287;"0000012211"
1828413;"6.8";276;"0000002111"
1828447;"7.3";6481;"0000012211"
1828716;"5.5";1157;"0000221000"
1829030;"6.4";8;"..12.2.1.2"
1829152;"6.3";3676;"0000122101"
1829153;"5.6";2873;"0000121000"
1829283;"7.1";9553;"0000012211"
1829882;"6.7";156823;"0000013100"
1830096;"6.8";82283;"0000012101"
1830116;"4.8";287;"1001111000"
1830497;"4.7";223;"0001210000"
1830509;"7.2";45;"00.0110103"
1830531;"5.2";2422;"0001111001"
1830564;"5.1";30462;"0001221000"
1831084;"4.8";25112;"0011211000"
1831363;"5.9";14793;"0000121000"
1831593;"6.6";52442;"0000023100"
1831790;"7.3";132771;"0000012211"
1831904;"7.3";2326;"0000012211"
1832668;"6.5";8076;"0000123100"
1832720;"6.8";9238;"0000012210"
1832832;"8.2";79093;"0000001222"
1832852;"6.7";47124;"0000012101"
1832872;"2.4";6468;"4100000001"
1832956;"6.9";51356;"0000013200"
1833143;"4.7";3948;"0011211000"
1833175;"6.5";31280;"0000123100"
1833995;"6.1";7398;"0000122101"
1834154;"7.9";56;"0.00000122"
1834266;"6.6";1249;"0000012111"
1834632;"5.4";368;"0001111000"
1835117;"6.6";1069;"0000123100"
1835175;"6.6";500;"0000012111"
1835296;"7.5";2739;"0000002311"
1835442;"6.5";27811;"0000023100"
1835618;"6.1";1605;"0000122100"
1836147;"5.4";64663;"0000121000"
1836375;"6.7";6901;"0000011211"
1836516;"6.3";30796;"0000111101"
1836984;"5.9";4753;"0000122100"
1837319;"6.4";65;"0.00101210"
1837323;"7.7";3484;"0000001212"
1837340;"6.9";11395;"0000012101"
1837467;"6.6";20349;"0000022101"
1837469;"5.6";10771;"0000121000"
1837764;"5.5";2284;"0000111101"
1837962;"8.0";30341;"0000001222"
1837991;"6.3";2099;"0000122100"
1838160;"7.2";56996;"0000013210"
1838360;"5.9";1087;"0000122100"
1838411;"8.0";27215;"0000001222"
1838481;"6.5";53552;"0000123100"
1838568;"6.7";12494;"0000023100"
1838619;"6.5";4428;"0000012101"
1838773;"7.5";15183;"0000002211"
1838850;"7.4";3701;"0000012310"
1839137;"7.1";11922;"0000012210"
1839311;"6.8";110930;"0000012101"
1839442;"7.8";10231;"0000001222"
1839754;"6.7";1198;"0000012111"
1840524;"7.4";103742;"0000012311"
1840882;"5.9";16869;"0000121100"
1841896;"5.5";3055;"0000112100"
1842301;"5.1";175;"2000000011"
1842580;"6.8";2477;"0000012111"
1842584;"5.4";15788;"0001121000"
1843039;"7.5";13214;"0000001211"
1843756;"5.5";18185;"0001121001"
1843757;"4.8";12847;"0001111000"
1844312;"8.1";14833;"0000001222"
1844854;"6.7";51;"00.0120101"
1844997;"6.7";175;"0000000122"
1845075;"7.5";2284;"0000001321"
1846390;"6.1";14767;"0000122100"
1846990;"5.2";3622;"0000111101"
1847035;"7.4";93;"0000012221"
