"movieid";"writerid";"addition"
1718342;145383;"(written by)  <1,1,3>"
1718342;267571;"(written by)  <1,1,1>"
1718342;396976;"(written by)  <1,1,2>"
1718968;132090;""
1718968;407052;"(poem ""Capitale de la douleur"") (uncredited)"
1719502;13436;"(uncredited)  <2,1,1>"
1719502;68347;"(written by)  <1,1,1>"
1719502;359515;"(uncredited)  <3,1,1>"
1719614;76066;"(scenario)"
1719614;156947;"(play ""Always Tell Your Wife"")"
1720040;332473;"(original screenplay)  <2,1,1>"
1720040;332473;"(original stage play)  <1,1,1>"
1720443;150154;""
1721568;19740;"(written by)  <1,1,1>"
1721607;226314;"(play)  <1,1,1>"
1721607;226314;"(screenplay)  <2,1,1>"
1721864;362111;"(written by)  <1,1,1>"
1721888;327204;"(written by)  <1,1,1>"
1721919;166080;"(written by)  <1,2,2>"
1721919;183319;"(written by)  <1,2,1>"
1721919;219239;"(written by)  <1,1,1>"
1721967;238808;"(written by)  <1,1,1>"
1722164;156233;"(written by)  <1,1,1>"
1722181;186697;"(written by)  <1,1,1>"
1722198;103076;"(novel)  <1,1,1>"
1722198;149847;"(screenplay)  <2,1,1>"
1722198;371325;"(screenplay)  <2,1,2>"
1722327;74506;""
1722395;169377;"(written by)  <1,1,2>"
1722395;229799;"(written by)  <1,1,1>"
1722617;28243;"(adaptation) (as J. M. Benet i Jornet)"
1722617;28243;"(play ""Testament"") (as Josep M. Benet i Jornet)"
1722761;118692;"(written by)  <1,1,1>"
1722776;384491;"(written by)"
1722777;160999;"(book ""Murder in Amityville"")  <2,1,1>"
1722777;317884;"(uncredited)  <3,1,1>"
1722777;385104;"(screenplay)  <1,1,1>"
1723002;25638;"(written by)  <1,1,1>"
1723532;120754;"(written by)  <1,1,1>"
1724000;75130;"(story)  <2,2,1>"
1724000;81824;"(screenplay)  <1,1,1>"
1724000;236327;"(screenplay)  <1,3,1>"
1724000;236327;"(story)  <2,1,1>"
1724000;350574;"(screenplay) (originally uncredited)  <1,2,1>"
1724037;106267;"(written by)  <1,1,1>"
1724179;119709;"(screenplay)  <1,1,1>"
1724179;119709;"(story)  <2,2,2>"
1724179;127217;"(screenplay)  <1,1,2>"
1724179;127217;"(story)  <2,2,3>"
1724179;190442;"(story)  <2,1,1>"
1724180;91732;"(screenplay)  <1,1,1>"
1724180;190442;"(creator)  <3,1,1>"
1724180;355958;"(story)  <2,1,1>"
1724190;202751;"(written by)  <1,1,1>"
1724193;49222;"(written by)  <2,1,1>"
1724193;202751;"(characters in An American Werewolf in London)  <1,1,1>"
1724193;350111;"(written by)  <2,1,2>"
1724193;385161;"(written by)  <2,2,1>"
1724201;210519;"(screenplay)  <2,1,1>"
1724201;210519;"(story)  <1,1,1>"
1724413;18627;"(novel)"
1724413;397616;""
1724880;278588;"(screenplay)  <2,1,1>"
1724880;392981;"(play)  <1,1,1>"
1725774;24539;"(written by)  <1,1,1>"
1725774;57508;"(written by)  <1,2,1>"
1725774;104627;"(written by)  <1,2,2>"
1726761;217053;"(screenplay)  <2,3,1>"
1726761;217053;"(story)  <1,1,1>"
1726761;298327;"(screenplay)  <2,2,1>"
1726761;366214;"(screenplay)  <2,1,1>"
1726761;366214;"(story)  <1,2,1>"
1726934;126501;"(screenplay)  <1,1,1>"
1726934;136611;"(screenplay)  <1,1,2>"
1726934;370557;"(animation adaptation)  <2,1,1>"
1726934;372100;"(screenplay)  <1,1,3>"
1726934;391784;"(screenplay)  <1,1,4>"
1727017;104167;"(dramaturge)"
1727017;316688;""
1727082;235394;"(screenplay)  <1,1,1>"
1727082;381722;"(based on the novel by) (as Robert Traver)  <2,1,1>"
1727237;209865;"(screen play)  <1,1,1>"
1727237;228380;"(suggested by a story by)  <2,1,1>"
1727348;350709;"(written by)  <1,1,1>"
1727413;61330;"(screen foreplay & conception)  <1,1,1>"
1727413;67305;"(screen foreplay & conception)  <1,1,2>"
1727413;130210;"(screen foreplay & conception)  <1,1,3>"
1727413;167138;"(screen foreplay & conception)  <1,1,4>"
1727413;177232;"(screen foreplay & conception)  <1,1,5>"
1727413;276094;"(screen foreplay & conception)  <1,1,6>"
1727885;20978;"(screenplay)  <2,1,1>"
1727885;91518;"(book ""A Seal Called Andre"") (as Lew Deitz)  <1,2,1>"
1727885;134715;"(book ""A Seal Called Andre"")  <1,1,1>"
1728742;317123;""
1728802;158721;"(novel ""Falling Angel"")"
1728802;278384;"(screenplay)"
1728889;137182;"(written by)  <1,1,1>"
1728948;187974;"(screenplay)  <2,2,1>"
1728948;330058;"(original story)  <1,1,1>"
1728948;330058;"(screenplay)  <2,1,1>"
1729005;246216;"(written by)  <1,1,1>"
1729026;176943;"(screenplay)  <2,1,1>"
1729026;236970;"(book)  <1,1,1>"
1729026;278384;"(screenplay)  <2,2,1>"
1729240;50354;"(novella ""Morpho Eugenia"")  <1,1,1>"
1729240;144123;"(screenplay)  <2,1,1>"
1729240;144161;"(screenplay)  <2,2,1>"
1729260;70846;"(1951 story)  <2,1,1>"
1729260;189828;"(1951 screenplay)  <1,1,1>"
1729260;189828;"(screenplay)  <3,1,1>"
1729260;340861;"(screenplay)  <3,2,1>"
1729260;389806;"(1951 screenplay)  <1,1,2>"
1729260;389806;"(screenplay)  <3,1,2>"
1729569;76690;"(short story)  <1,1,1>"
1729569;135087;"(screenplay)  <2,1,1>"
1729579;264635;""
1729579;295315;"(screenplay)"
1729579;295315;"(story)"
1729579;366269;"(screenplay)"
1729579;366269;"(story)"
1729818;186274;"(written by)  <1,1,2>"
1729818;245725;"(written by)  <1,1,3>"
1729818;298327;"(written by)  <1,1,1>"
1730566;312056;"(screenplay)  <2,1,1>"
1730566;366387;"(novel)  <1,1,1>"
1730640;196970;"(screenplay)  <2,1,2>"
1730640;210310;"(diaries)  <1,1,1>"
1730640;240809;"(screenplay)  <2,1,1>"
1730836;34446;""
1730836;118252;"(diary)"
1730975;6683;"(written by)  <1,1,1>"
1730975;43367;"(written by)  <1,2,1>"
1731412;63789;"(written by)  <2,2,1>"
1731412;202792;"(written by)  <2,1,1>"
1731412;215234;"(book)  <1,1,1>"
1731505;141716;"(screenplay)  <2,1,1>"
1731505;321497;"(play ""Deadlock"")  <1,1,1>"
1731582;195472;"(characters)  <2,1,1>"
1731582;195472;"(written by)  <1,1,1>"
1732344;135478;""
1732496;5112;"(screenplay)  <1,1,1>"
1732496;389522;"(screenplay)  <1,1,2>"
1732496;389524;"(screenplay)  <1,1,3>"
1732658;216605;"(screen story)  <1,2,1>"
1732658;216605;"(screenplay)  <2,1,1>"
1732658;295070;"(screen story)  <1,1,1>"
1732658;351632;"(screenplay)  <2,2,1>"
1732858;322738;"(screenplay)  <2,1,1>"
1732858;338666;"(book)  <1,1,1>"
1733111;20355;"(novel ""Aparajito"")"
1733111;24069;"(assistant screenplay writer)"
1733111;300380;"(screenplay)"
1733479;71162;"(novel ""Heart of Darkness"") (uncredited)"
1733479;72405;"(written by) (as Francis Coppola)  <1,2,1>"
1733479;155830;"(narration)  <2,1,1>"
1733479;245479;"(written by)  <1,1,1>"
1733566;46111;"(screenplay)  <2,1,1>"
1733566;191913;"(book ""Lost Moon"")  <1,1,2>"
1733566;218553;"(book ""Lost Moon"")  <1,1,1>"
1733566;302431;"(screenplay)  <2,1,2>"
1734162;17532;"(written by)  <1,1,1>"
1734321;40544;"(screenplay)  <2,1,1>"
1734321;189747;"(novella ""Apt Pupil"")  <1,1,1>"
1734369;20355;"(original story ""Aparajito"")"
1734369;300380;"(screenplay)"
1734803;171459;"(screenplay)  <2,1,1>"
1734803;171459;"(story)  <1,1,1>"
1734803;352591;"(screenplay)  <2,2,1>"
1734803;393589;"(story)  <1,1,2>"
1735791;94657;"(writer)"
